t,plant,axis,metamer,AA_consumption_mstruct,D_Fructan,D_Proteins,LSIW,LSSW,Nstruct,Respi_growth,SSLW,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,amino_acids,delta_internode_L,delta_internode_distance_to_emerge,delta_internode_pseudo_age,delta_leaf_L,delta_leaf_pseudo_age,delta_leaf_pseudostem_length,fructan,hiddenzone_age,internode_L,internode_Lmax,internode_Lmax_lig,internode_distance_to_emerge,internode_enclosed_Nstruct,internode_enclosed_mstruct,internode_is_growing,internode_is_remobilizing,internode_is_visible,internode_pseudo_age,is_over,lamina_Lmax,leaf_L,leaf_Lmax,leaf_Lmax_em,leaf_Wmax,leaf_enclosed_Nstruct,leaf_enclosed_mstruct,leaf_is_emerged,leaf_is_growing,leaf_is_remobilizing,leaf_pseudo_age,leaf_pseudostem_length,mean_conc_sucrose,mstruct,nb_replications,proteins,ratio_DZ,sheath_Lmax,sucrose,sucrose_consumption_mstruct
0,1,MS,3,0.00056344,NA,NA,1.00000000,0.09000000,0.00001021,0.01883382,22.00000000,NA,NA,NA,NA,1.00943656,0.00000000,0.00010000,0.00000000,0.00017518,1670.85866047,0.00000000,6.03000000,3837110.85866047,0.00005000,NA,NA,0.02900000,0.00000001,0.00000132,True,False,False,865670.85866047,False,0.09712557,0.09267518,0.12766185,0.12280000,0.00400000,0.00001021,0.00205158,True,True,False,1571670.85866047,0.02895000,1800.00000000,0.00205290,1.00000000,10.10000000,0.00000000,0.03053628,12.02466471,0.05650147
0,1,MS,4,0.00080507,NA,NA,NA,NA,0.00000249,0.02691067,NA,NA,NA,NA,NA,0.47819493,0.00000004,0.00002000,0.00000000,0.00011332,1670.85866047,0.00000000,3.50000000,3289190.85866047,0.00001004,NA,NA,0.02895000,0.00000000,0.00000017,True,False,False,0.00000000,False,0.09910648,0.02661332,0.13398242,0.13310000,NA,0.00000249,0.00049825,False,True,False,758670.85866047,0.02894000,1804.34503255,0.00049842,1.00000000,4.79000000,0.29963916,0.03399352,2.81235731,0.08073202
0,1,MS,5,0.00002894,NA,NA,NA,NA,0.00000006,0.00096731,NA,NA,NA,NA,NA,0.02107106,0.00000020,0.00006000,0.00000000,0.00001091,0.00000000,0.00006000,0.00000000,2741270.85866047,0.00005020,NA,NA,0.02900000,0.00000000,0.00000000,True,False,False,0.00000000,False,NA,0.00201091,NA,NA,NA,0.00000006,0.00001128,False,True,False,0.00000000,0.02900000,1808.97457569,0.00001128,1.00000000,0.21100000,1.00000000,NA,0.06193077,0.00290193
0,1,MS,6,0.00000474,NA,NA,NA,NA,0.00000002,0.00015846,NA,NA,NA,NA,NA,0.00575526,0.00000000,0.00006000,0.00000000,0.00000246,0.00000000,0.00006000,0.00000000,2193350.85866047,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00072246,NA,NA,NA,0.00000002,0.00000306,False,True,False,0.00000000,0.02900000,NA,0.00000306,1.00000000,0.05760000,1.00000000,NA,0.01726615,0.00047539
0,1,MS,7,0.00000153,NA,NA,NA,NA,0.00000001,0.00005119,NA,NA,NA,NA,NA,0.00198847,0.00000000,0.00006000,0.00000000,0.00000101,0.00000000,0.00006000,0.00000000,1645430.85866047,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00031101,NA,NA,NA,0.00000001,0.00000105,False,True,False,0.00000000,0.02900000,NA,0.00000105,1.00000000,0.01990000,1.00000000,NA,0.00598522,0.00015358
0,1,MS,8,0.00000060,NA,NA,NA,NA,0.00000000,0.00002013,NA,NA,NA,NA,NA,0.00088140,0.00000000,0.00006000,0.00000000,0.00000048,0.00000000,0.00006000,0.00000000,1097510.85866047,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00016048,NA,NA,NA,0.00000000,0.00000047,False,True,False,0.00000000,0.02900000,NA,0.00000047,1.00000000,0.00882000,1.00000000,NA,0.00266946,0.00006040
0,1,MS,9,0.00000021,NA,NA,NA,NA,0.00000000,0.00000686,NA,NA,NA,NA,NA,0.00033879,0.00000000,0.00006000,0.00000000,0.00000021,0.00000000,0.00006000,0.00000000,549590.85866047,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00007021,NA,NA,NA,0.00000000,0.00000018,False,True,False,0.00000000,0.02900000,NA,0.00000018,1.00000000,0.00339000,1.00000000,NA,0.00102255,0.00002059
0,1,MS,10,0.00000012,NA,NA,NA,NA,0.00000000,0.00000410,NA,NA,NA,NA,NA,0.00023788,0.00000000,0.00006000,0.00000000,0.00000013,0.00000000,0.00006000,0.00000000,1670.85866047,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00005013,NA,NA,NA,0.00000000,0.00000013,False,True,False,0.00000000,0.02900000,NA,0.00000013,1.00000000,0.00238000,1.00000000,NA,0.00072362,0.00001229
1,1,MS,3,0.00060447,4.44519240,1.39313740,1.00000000,0.09000000,0.00001022,0.02020539,22.00000000,0.00000030,33.69451452,0.00248124,-3.83683392,0.18596700,0.00000000,0.00000000,0.00000000,0.00018776,1792.16757692,0.00000000,6.02328547,3838903.02623739,0.00005000,NA,NA,0.02900000,0.00000001,0.00000132,True,False,False,867463.02623739,False,0.09714521,0.09286294,0.12768766,0.12280000,0.00400000,0.00001022,0.00205327,True,True,False,1573463.02623739,0.02895000,1800.00000000,0.00205459,1.00000000,10.16130579,0.00000000,0.03054245,3.44008458,0.06061616
1,1,MS,4,0.00087043,3.51477412,2.70716332,NA,NA,0.00000250,0.02909566,NA,42.30731511,54.37909761,0.03357134,0.38313002,0.04529237,0.00000004,0.00000000,0.00000000,0.00012170,1792.16757692,-0.00000004,3.51477412,3290983.02623739,0.00001008,NA,NA,0.02895000,0.00000000,0.00000017,True,False,False,0.00000000,False,0.09910648,0.02673502,0.13399945,0.13310000,NA,0.00000250,0.00050069,False,True,False,760463.02623739,0.02893996,1808.71668471,0.00050086,1.50000000,4.81350605,0.29757286,0.03399352,0.83619013,0.08728698
1,1,MS,5,0.00003147,0.00037592,5.25284570,NA,NA,0.00000006,0.00105195,NA,42.32051738,103.29728079,0.00128919,0.00903952,0.00102861,0.00000022,-0.00006004,0.00000000,0.00001175,0.00000000,-0.00011024,0.00037592,2743063.02623739,0.00005042,NA,NA,0.02893996,0.00000000,0.00000001,True,False,False,0.00000000,False,NA,0.00202267,NA,NA,NA,0.00000006,0.00001136,False,True,False,0.00000000,0.02888976,1817.64913949,0.00001137,2.00000000,0.21200826,1.00000000,NA,0.01898877,0.00315585
1,1,MS,6,0.00000513,0.00010179,5.29694607,NA,NA,0.00000002,0.00017142,NA,42.32245935,103.30952327,0.00034889,0.00244835,0.00027849,0.00000000,0.00000000,0.00000000,0.00000265,0.00000000,0.00000000,0.00010179,2195143.02623739,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00072511,NA,NA,NA,0.00000002,0.00000308,False,True,False,0.00000000,0.02900000,NA,0.00000308,2.50000000,0.05787257,1.00000000,NA,0.00514058,0.00051426
1,1,MS,7,0.00000166,0.00003503,5.31860559,NA,NA,0.00000001,0.00005536,NA,42.32352500,103.31623159,0.00012003,0.00084264,0.00009583,0.00000000,0.00000000,0.00000000,0.00000109,0.00000000,0.00000000,0.00003503,1647223.02623739,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00031210,NA,NA,NA,0.00000001,0.00000106,False,True,False,0.00000000,0.02900000,NA,0.00000106,3.00000000,0.01999371,1.00000000,NA,0.00176879,0.00016607
1,1,MS,8,0.00000065,0.00001556,5.30537160,NA,NA,0.00000000,0.00002175,NA,42.32411708,103.31994945,0.00005334,0.00037433,0.00004258,0.00000000,0.00000000,0.00000000,0.00000051,0.00000000,0.00000000,0.00001556,1099303.02623739,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00016099,NA,NA,NA,0.00000000,0.00000047,False,True,False,0.00000000,0.02900000,NA,0.00000047,3.00000000,0.00886163,1.00000000,NA,0.00078593,0.00006526
1,1,MS,9,0.00000022,0.00000596,5.32429442,NA,NA,0.00000000,0.00000741,NA,42.32463840,103.32323114,0.00002042,0.00014340,0.00001631,0.00000000,0.00000000,0.00000000,0.00000022,0.00000000,0.00000000,0.00000596,551383.02623739,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00007043,NA,NA,NA,0.00000000,0.00000018,False,True,False,0.00000000,0.02900000,NA,0.00000018,3.00000000,0.00340594,1.00000000,NA,0.00030100,0.00002223
1,1,MS,10,0.00000013,0.00000419,5.31575175,NA,NA,0.00000000,0.00000442,NA,42.32479182,103.32419395,0.00001436,0.00010082,0.00001147,0.00000000,0.00000000,0.00000000,0.00000014,0.00000000,0.00000000,0.00000419,3463.02623739,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00005028,NA,NA,NA,0.00000000,0.00000013,False,True,False,0.00000000,0.02900000,NA,0.00000013,3.00000000,0.00239121,1.00000000,NA,0.00021167,0.00001326
2,1,MS,3,0.00052232,3.29842025,1.30857735,1.00000000,0.09000000,0.00001023,0.01745957,22.00000000,0.00000028,33.96299261,0.01503674,-4.08506126,0.20676477,0.00000000,0.00000000,0.00000000,0.00014558,1549.26363809,0.00000000,6.01595061,3840452.28987548,0.00005000,NA,NA,0.02900000,0.00000001,0.00000132,True,False,False,869012.28987548,False,0.09714951,0.09300853,0.12769331,0.12280000,0.00400000,0.00001022,0.00205473,True,True,False,1575012.28987548,0.02895000,1800.00000000,0.00205605,1.00000000,10.22622285,0.00000000,0.03054381,4.38642406,0.05237871
2,1,MS,4,0.00073635,3.30551811,2.53140684,NA,NA,0.00000251,0.02461356,NA,47.13710676,54.71125499,0.02997653,0.23417222,0.05054411,0.00000004,0.00000000,0.00000000,0.00009432,1549.26363809,-0.00000004,3.53501863,3292532.28987548,0.00001012,NA,NA,0.02895000,0.00000000,0.00000017,True,False,False,0.00000000,False,0.09910648,0.02682934,0.13400308,0.13310000,NA,0.00000251,0.00050275,False,True,False,762012.28987548,0.02893992,1808.57975123,0.00050292,1.50000000,4.83887435,0.29594951,0.03399352,1.07053235,0.07384068
2,1,MS,5,0.00002498,0.00087591,4.90142097,NA,NA,0.00000006,0.00083495,NA,47.14376182,104.13516130,0.00122007,0.00565885,0.00115008,0.00000019,-0.00000004,0.00000000,0.00000842,0.00000000,-0.00000026,0.00087591,2744612.28987548,0.00005060,NA,NA,0.02893992,0.00000000,0.00000001,True,False,False,0.00000000,False,NA,0.00203108,NA,NA,NA,0.00000006,0.00001143,False,True,False,0.00000000,0.02888950,1817.34936233,0.00001144,2.00000000,0.21310561,1.00000000,NA,0.02435441,0.00250485
2,1,MS,6,0.00000403,0.00023675,4.95453307,NA,NA,0.00000002,0.00013464,NA,47.14477318,104.14556226,0.00032932,0.00152983,0.00031060,0.00000000,0.00000000,0.00000000,0.00000189,0.00000000,0.00000000,0.00023675,2196692.28987548,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00072700,NA,NA,NA,0.00000002,0.00000309,False,True,False,0.00000000,0.02900000,NA,0.00000309,2.50000000,0.05816875,1.00000000,NA,0.00657666,0.00040392
2,1,MS,7,0.00000130,0.00008145,4.97579921,NA,NA,0.00000001,0.00004347,NA,47.14532766,104.15124750,0.00011327,0.00052650,0.00010685,0.00000000,0.00000000,0.00000000,0.00000078,0.00000000,0.00000000,0.00008145,1648772.28987548,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00031287,NA,NA,NA,0.00000001,0.00000106,False,True,False,0.00000000,0.02900000,NA,0.00000106,3.00000000,0.02009558,1.00000000,NA,0.00226237,0.00013041
2,1,MS,8,0.00000051,0.00003618,4.96544982,NA,NA,0.00000000,0.00001707,NA,47.14563604,104.15439898,0.00005031,0.00023379,0.00004746,0.00000000,0.00000000,0.00000000,0.00000037,0.00000000,0.00000000,0.00003618,1100852.28987548,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00016136,NA,NA,NA,0.00000000,0.00000047,False,True,False,0.00000000,0.02900000,NA,0.00000047,3.00000000,0.00890689,1.00000000,NA,0.00100484,0.00005122
2,1,MS,9,0.00000017,0.00001386,4.98473003,NA,NA,0.00000000,0.00000581,NA,47.14590731,104.15717988,0.00001926,0.00008954,0.00001817,0.00000000,0.00000000,0.00000000,0.00000016,0.00000000,0.00000000,0.00001386,552932.28987548,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00007058,NA,NA,NA,0.00000000,0.00000018,False,True,False,0.00000000,0.02900000,NA,0.00000018,3.00000000,0.00342326,1.00000000,NA,0.00038471,0.00001744
2,1,MS,10,0.00000010,0.00000974,4.97880820,NA,NA,0.00000000,0.00000347,NA,47.14598726,104.15799641,0.00001354,0.00006293,0.00001277,0.00000000,0.00000000,0.00000000,0.00000010,0.00000000,0.00000000,0.00000974,5012.28987548,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00005038,NA,NA,NA,0.00000000,0.00000013,False,True,False,0.00000000,0.02900000,NA,0.00000013,3.00000000,0.00240338,1.00000000,NA,0.00027042,0.00001040
3,1,MS,3,0.00060050,2.68041667,1.18646163,1.00000000,0.09000000,0.00001024,0.02007275,22.00000000,0.00000186,31.59398299,0.05378156,-2.15727184,0.21614320,0.00000000,0.00000000,0.00000000,0.00017187,1780.43723358,0.00000000,6.01041895,3842232.72710906,0.00005000,NA,NA,0.02900000,0.00000001,0.00000132,True,False,False,870792.72710906,False,0.09715799,0.09318040,0.12770446,0.12280000,0.00400000,0.00001023,0.00205641,True,True,False,1576792.72710906,0.02895000,1800.00000000,0.00205773,1.00000000,10.28790223,0.00000000,0.03054647,4.89529418,0.06021826
3,1,MS,4,0.00086693,2.68332094,2.28366102,NA,NA,0.00000253,0.02897847,NA,45.87000979,50.78903651,0.02624588,0.15033414,0.05307461,0.00000004,0.00000000,0.00000000,0.00011169,1780.43723358,-0.00000004,3.55598720,3294312.72710906,0.00001016,NA,NA,0.02895000,0.00000000,0.00000017,True,False,False,0.00000000,False,0.09910648,0.02694103,0.13401030,0.13310000,NA,0.00000253,0.00050518,False,True,False,763792.72710906,0.02893988,1808.94112992,0.00050535,1.50000000,4.86303523,0.29405018,0.03399352,1.20085715,0.08693541
3,1,MS,5,0.00002959,0.00138655,4.41084074,NA,NA,0.00000006,0.00098896,NA,45.87366614,96.90106221,0.00110522,0.00374401,0.00121048,0.00000022,-0.00000004,0.00000000,0.00001001,0.00000000,-0.00000022,0.00138655,2746392.72710906,0.00005082,NA,NA,0.02893988,0.00000000,0.00000001,True,False,False,0.00000000,False,NA,0.00204109,NA,NA,NA,0.00000006,0.00001151,False,True,False,0.00000000,0.02888928,1818.07595797,0.00001152,2.00000000,0.21415602,1.00000000,NA,0.02738265,0.00296687
3,1,MS,6,0.00000476,0.00037407,4.47132412,NA,NA,0.00000002,0.00015909,NA,45.87424508,96.90958692,0.00029741,0.00101024,0.00032596,0.00000000,0.00000000,0.00000000,0.00000225,0.00000000,0.00000000,0.00037407,2198472.72710906,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00072925,NA,NA,NA,0.00000002,0.00000310,False,True,False,0.00000000,0.02900000,NA,0.00000310,2.50000000,0.05845141,1.00000000,NA,0.00737282,0.00047726
