t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA
0,1,MS,roots,0.02002061,NA,0.00000000,0.00000000,0.00000000,NA,NA,0.00017248,NA,NA,NA,NA,NA,NA,NA,0.69137825,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,2.17051312,8.60000000,0.00005606,0.03445606,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,199.88574592,2.00766633,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93338245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.04720508,NA,NA
1,1,MS,roots,0.02147097,0.00000000,0.12257727,0.13882652,0.01820402,1.06905604,0.00000000,0.00017278,NA,0.07587480,0.10725502,NA,NA,NA,0.06216115,0.74146433,1.11022160,NA,0.98201537,NA,NA,14.40615097,0.00000000,-602.59472338,0.27016378,NA,2.06487367,8.61573087,0.00006012,0.03451618,22.00445712,NA,0.00000000,0.00035209,0.00000000,NA,NA,175.81590580,2.15310934,0.24529097
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48752006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.16930948,NA,NA
2,1,MS,roots,0.01827000,0.00000000,0.07426064,0.08871419,0.01160168,0.99321345,0.00000000,0.00017303,NA,0.07025322,0.09423512,NA,NA,NA,0.05687515,0.63092416,1.02644381,NA,0.91008745,NA,NA,14.36743881,0.00000000,-371.02363049,0.23736806,NA,2.00789151,8.63562529,0.00005116,0.03456733,22.12189337,NA,0.00000000,0.00022398,0.00000000,NA,NA,160.18591974,1.83211607,0.22136349
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74063158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.82131699,NA,NA
3,1,MS,roots,0.02070230,0.00000000,0.02390884,0.02957325,0.00385582,1.06036629,0.00000000,0.00017332,NA,0.07495176,0.09597735,NA,NA,NA,0.05874234,0.71491942,1.09325909,NA,0.97089004,NA,NA,14.38144389,0.00000000,-245.21579177,0.24175654,NA,2.00119429,8.66542324,0.00005797,0.03462530,22.29994625,NA,0.00000000,0.00007427,0.00000000,NA,NA,148.54678917,2.07602662,0.22967144
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85762696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.95913100,NA,NA
4,1,MS,roots,0.01955934,0.00000000,0.00440863,0.00551241,0.00071544,1.03288588,0.00000000,0.00017360,NA,0.07302752,0.08974393,NA,NA,NA,0.05665663,0.67544910,1.06350977,NA,0.94532743,NA,NA,14.41396776,0.00000000,-177.89309813,0.22605523,NA,2.01415883,8.69752661,0.00005477,0.03468007,22.48661700,NA,0.00000000,0.00001373,0.00000000,NA,NA,139.39694181,1.96141031,0.21942808
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.90903452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.25028566,NA,NA
5,1,MS,roots,0.01858864,0.00000000,0.00150371,0.00188269,0.00024322,1.00983113,0.00000000,0.00017386,NA,0.07142723,0.08460747,NA,NA,NA,0.05496927,0.64192772,1.03864571,NA,0.92349709,NA,NA,14.44858109,0.00000000,-133.68259320,0.21311705,NA,2.03018352,8.72939217,0.00005205,0.03473211,22.66424081,NA,0.00000000,0.00000465,0.00000000,NA,NA,131.91563464,1.86406887,0.21100397
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92184834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.05757073,NA,NA
6,1,MS,roots,0.01790535,0.00000000,0.00101923,0.00127551,0.00016409,0.99430097,0.00000000,0.00017411,NA,0.07036164,0.08061402,NA,NA,NA,0.05371269,0.61833155,1.02167586,NA,0.90820172,NA,NA,14.48313477,0.00000000,-101.89631053,0.20305798,NA,2.04683184,8.76084983,0.00005013,0.03478225,22.83253323,NA,0.00000000,0.00000313,0.00000000,NA,NA,125.63367930,1.79554888,0.20468835
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.90954539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.89278791,NA,NA
7,1,MS,roots,0.01744395,0.00000000,0.00052171,0.00065219,0.00008358,0.98452118,0.00000000,0.00017435,NA,0.06970448,0.07745230,NA,NA,NA,0.05277350,0.60239760,1.01071433,NA,0.89784720,NA,NA,14.51784903,0.00000000,-78.34512068,0.19509395,NA,2.06410215,8.79207000,0.00004884,0.03483109,22.99349213,NA,0.00000000,0.00000159,0.00000000,NA,NA,120.23531312,1.74927889,0.19993028
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88152510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.03582821,NA,NA
8,1,MS,roots,0.01714507,0.00000000,0.00052697,0.00065772,0.00008400,0.97899740,0.00000000,0.00017459,NA,0.06934861,0.07489952,NA,NA,NA,0.05206955,0.59207636,1.00417025,NA,0.89106869,NA,NA,14.55237374,0.00000000,-59.85317678,0.18866378,NA,2.08148180,8.82309423,0.00004801,0.03487910,23.14792706,NA,0.00000000,0.00000159,0.00000000,NA,NA,115.52282963,1.71930745,0.19631768
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83917183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.69367115,NA,NA
